pickup,dropoff,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-02 17:43:53,2019-03-02 17:57:36,Garment District,Lincoln Square East,Manhattan,Manhattan
2019-03-10 03:17:59,2019-03-10 03:37:49,Alphabet City,Williamsburg (North Side),Manhattan,Brooklyn
2019-03-23 12:06:35,2019-03-23 12:17:24,Penn Station/Madison Sq West,Clinton East,Manhattan,Manhattan
2019-03-28 18:18:48,2019-03-28 18:41:26,Union Sq,Battery Park City,Manhattan,Manhattan
2019-03-23 22:18:37,2019-03-23 22:23:57,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-05 08:50:07,2019-03-05 09:15:56,Upper West Side North,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-24 12:12:20,2019-03-24 12:27:55,UN/Turtle Bay South,Central Park,Manhattan,Manhattan
2019-03-12 14:40:30,2019-03-12 14:51:42,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
2019-03-28 01:17:23,2019-03-28 01:27:33,Upper East Side South,Mott Haven/Port Morris,Manhattan,Bronx
2019-03-23 09:40:51,2019-03-23 09:47:15,Sunnyside,Sunnyside,Queens,Queens
2019-03-21 08:22:55,2019-03-21 09:01:55,Upper West Side South,Gramercy,Manhattan,Manhattan
2019-03-20 20:12:00,2019-03-20 20:22:39,Midtown South,West Village,Manhattan,Manhattan
2019-03-06 09:16:00,2019-03-06 09:39:38,Times Sq/Theatre District,Union Sq,Manhattan,Manhattan
2019-03-13 09:56:58,2019-03-13 10:49:35,Midtown Center,JFK Airport,Manhattan,Queens
2019-03-25 12:25:48,2019-03-25 12:40:37,Upper West Side South,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-06 17:22:21,2019-03-06 17:47:22,Lincoln Square West,Union Sq,Manhattan,Manhattan
2019-03-02 09:51:41,2019-03-02 09:52:52,Lenox Hill East,Lenox Hill West,Manhattan,Manhattan
2019-03-08 23:31:10,2019-03-08 23:54:13,Flatiron,Lower East Side,Manhattan,Manhattan
2019-03-29 07:13:54,2019-03-29 07:20:17,Midtown Center,Lenox Hill West,Manhattan,Manhattan
2019-03-10 00:18:51,2019-03-10 00:26:11,Ridgewood,Bushwick North,Queens,Brooklyn
2019-03-24 19:53:51,2019-03-24 20:00:07,Upper East Side North,Upper West Side North,Manhattan,Manhattan
2019-03-28 19:53:03,2019-03-28 20:04:10,Midtown Center,Long Island City/Hunters Point,Manhattan,Queens
2019-03-22 20:04:56,2019-03-22 20:08:38,Times Sq/Theatre District,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-20 17:28:50,2019-03-20 17:36:37,Times Sq/Theatre District,Midtown North,Manhattan,Manhattan
2019-03-22 19:16:00,2019-03-22 19:24:56,Midtown Center,Upper East Side North,Manhattan,Manhattan
2019-03-27 11:59:57,2019-03-27 12:22:29,Clinton East,Upper East Side North,Manhattan,Manhattan
2019-03-19 14:01:31,2019-03-19 14:23:46,Midtown Center,Sunnyside,Manhattan,Queens
2019-03-27 07:31:25,2019-03-27 07:34:58,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-12 14:40:03,2019-03-12 14:57:59,Union Sq,East Chelsea,Manhattan,Manhattan
2019-03-22 01:01:00,2019-03-22 01:06:34,Midtown Center,Midtown East,Manhattan,Manhattan
2019-03-08 10:08:43,2019-03-08 10:16:57,Sutton Place/Turtle Bay North,Lenox Hill East,Manhattan,Manhattan
2019-03-23 23:19:39,2019-03-23 23:44:47,Upper West Side South,Battery Park City,Manhattan,Manhattan
2019-03-12 11:36:43,2019-03-12 11:57:15,Yorkville West,Upper East Side South,Manhattan,Manhattan
2019-03-16 19:14:40,2019-03-16 19:36:52,West Village,Lincoln Square East,Manhattan,Manhattan
2019-03-24 23:05:15,2019-03-24 23:20:16,Union Sq,Upper West Side North,Manhattan,Manhattan
2019-03-30 11:00:02,2019-03-30 11:10:11,Long Island City/Queens Plaza,UN/Turtle Bay South,Queens,Manhattan
2019-03-02 10:48:29,2019-03-02 10:57:30,Yorkville West,Midtown East,Manhattan,Manhattan
2019-03-17 01:20:45,2019-03-17 01:32:09,Lower East Side,East Williamsburg,Manhattan,Brooklyn
2019-03-01 15:52:51,2019-03-01 15:59:14,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-19 18:17:13,2019-03-19 18:30:20,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-09 20:45:37,2019-03-09 20:52:24,Kips Bay,East Village,Manhattan,Manhattan
2019-03-09 15:05:11,2019-03-09 16:00:44,JFK Airport,Midtown Center,Queens,Manhattan
2019-03-20 08:50:48,2019-03-20 09:07:31,Two Bridges/Seward Park,Lenox Hill East,Manhattan,Manhattan
2019-03-14 21:20:40,2019-03-14 21:34:04,Midtown Center,Yorkville West,Manhattan,Manhattan
2019-03-22 17:53:01,2019-03-22 18:19:12,Times Sq/Theatre District,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-04 00:46:26,2019-03-04 01:28:11,JFK Airport,Upper East Side North,Queens,Manhattan
2019-03-03 13:23:27,2019-03-03 13:35:31,Central Park,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-16 13:40:25,2019-03-16 13:56:43,Astoria,Woodside,Queens,Queens
2019-03-29 14:20:18,2019-03-29 14:36:35,Hudson Sq,Murray Hill,Manhattan,Manhattan
2019-03-27 16:07:15,2019-03-27 16:27:06,Financial District North,East Village,Manhattan,Manhattan
2019-03-17 19:15:04,2019-03-17 19:24:32,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-08 23:00:22,2019-03-08 23:20:03,Yorkville West,Kips Bay,Manhattan,Manhattan
2019-03-20 10:25:52,2019-03-20 11:02:20,Hudson Sq,Upper East Side South,Manhattan,Manhattan
2019-03-21 21:07:34,2019-03-21 21:14:43,Meatpacking/West Village West,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-22 10:18:30,2019-03-22 11:06:57,LaGuardia Airport,Times Sq/Theatre District,Queens,Manhattan
2019-03-06 21:25:41,2019-03-06 21:31:41,Clinton East,Upper West Side South,Manhattan,Manhattan
2019-03-06 20:13:30,2019-03-06 20:27:10,Greenwich Village North,East Chelsea,Manhattan,Manhattan
2019-03-16 18:06:30,2019-03-16 18:12:24,World Trade Center,Financial District North,Manhattan,Manhattan
2019-03-07 10:23:25,2019-03-07 10:32:35,Midtown South,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-19 16:36:44,2019-03-19 16:53:56,Lincoln Square East,Morningside Heights,Manhattan,Manhattan
2019-03-30 22:02:43,2019-03-30 22:49:48,Greenwich Village South,Upper West Side South,Manhattan,Manhattan
2019-03-11 20:06:38,2019-03-11 20:13:54,Meatpacking/West Village West,SoHo,Manhattan,Manhattan
2019-03-15 22:45:51,2019-03-15 23:09:31,Lower East Side,Lenox Hill West,Manhattan,Manhattan
2019-03-08 06:56:57,2019-03-08 07:04:10,Lincoln Square West,Clinton East,Manhattan,Manhattan
2019-03-24 20:14:24,2019-03-24 20:19:18,Lincoln Square East,Lincoln Square West,Manhattan,Manhattan
2019-03-20 02:00:58,2019-03-20 02:09:00,Midtown East,Flatiron,Manhattan,Manhattan
2019-03-14 21:07:51,2019-03-14 21:16:51,Gramercy,East Village,Manhattan,Manhattan
2019-03-26 15:04:49,2019-03-26 15:10:09,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-23 16:47:59,2019-03-23 16:57:16,Central Park,Midtown Center,Manhattan,Manhattan
2019-03-05 20:10:48,2019-03-05 20:26:08,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-22 17:09:41,2019-03-22 17:20:25,East Village,West Village,Manhattan,Manhattan
2019-03-20 12:31:21,2019-03-20 13:12:07,Clinton East,Hillcrest/Pomonok,Manhattan,Queens
2019-03-12 13:36:25,2019-03-12 13:42:21,Midtown Center,Upper East Side South,Manhattan,Manhattan
2019-03-06 13:48:29,2019-03-06 14:08:58,Upper East Side South,Midtown Center,Manhattan,Manhattan
2019-03-01 11:48:17,2019-03-01 11:53:09,World Trade Center,Financial District South,Manhattan,Manhattan
2019-03-31 07:35:53,2019-03-31 07:47:11,Lincoln Square West,Yorkville West,Manhattan,Manhattan
2019-03-25 13:17:36,2019-03-25 13:26:21,Hudson Sq,Battery Park,Manhattan,Manhattan
2019-03-13 09:33:13,2019-03-13 09:50:59,Sutton Place/Turtle Bay North,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-05 09:54:13,2019-03-05 10:18:37,Clinton East,Midtown North,Manhattan,Manhattan
2019-03-18 21:43:03,2019-03-18 22:11:19,LaGuardia Airport,Manhattan Valley,Queens,Manhattan
2019-03-08 16:07:58,2019-03-08 16:19:36,Lenox Hill West,Murray Hill,Manhattan,Manhattan
2019-03-05 22:04:53,2019-03-05 22:12:22,Upper East Side South,Manhattan Valley,Manhattan,Manhattan
2019-03-24 22:03:13,2019-03-24 22:08:34,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
2019-03-24 21:10:40,2019-03-24 21:17:04,West Village,East Village,Manhattan,Manhattan
2019-03-13 14:20:02,2019-03-13 14:29:07,Garment District,Midtown East,Manhattan,Manhattan
2019-03-26 15:14:06,2019-03-26 15:46:23,Upper East Side South,Bronxdale,Manhattan,Bronx
2019-03-16 20:50:49,2019-03-16 20:56:14,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-27 22:49:19,2019-03-27 22:57:03,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
2019-03-14 21:26:04,2019-03-14 21:52:47,Murray Hill,Carroll Gardens,Manhattan,Brooklyn
2019-03-12 18:10:51,2019-03-12 18:44:29,Garment District,Washington Heights South,Manhattan,Manhattan
2019-03-30 14:12:53,2019-03-30 14:20:08,Union Sq,East Chelsea,Manhattan,Manhattan
2019-03-08 00:40:32,2019-03-08 01:11:53,TriBeCa/Civic Center,West Brighton,Manhattan,Staten Island
2019-03-31 21:26:33,2019-03-31 21:36:16,Union Sq,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-20 20:59:25,2019-03-20 21:02:50,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019-03-31 12:41:16,2019-03-31 12:48:07,Hamilton Heights,Central Harlem North,Manhattan,Manhattan
2019-03-19 14:41:09,2019-03-19 14:56:02,Gramercy,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-28 07:29:15,2019-03-28 07:59:46,Sunnyside,Financial District North,Queens,Manhattan
2019-03-19 18:57:51,2019-03-19 19:09:13,Murray Hill,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-14 23:31:59,2019-03-14 23:42:08,Penn Station/Madison Sq West,Lincoln Square East,Manhattan,Manhattan
2019-03-25 21:43:33,2019-03-25 21:51:23,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019-03-03 19:41:59,2019-03-03 19:50:18,Clinton East,Midtown North,Manhattan,Manhattan
2019-03-09 15:00:06,2019-03-09 15:50:29,Flatiron,,Manhattan,
2019-03-12 11:18:44,2019-03-12 11:28:22,Lincoln Square East,Central Park,Manhattan,Manhattan
2019-03-31 12:47:19,2019-03-31 12:54:54,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-19 18:23:20,2019-03-19 18:32:47,Lincoln Square West,Upper East Side South,Manhattan,Manhattan
2019-03-04 07:07:14,2019-03-04 07:11:15,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-11 10:17:31,2019-03-11 11:03:55,East Harlem North,,Manhattan,
2019-03-03 11:43:13,2019-03-03 11:48:40,Little Italy/NoLiTa,East Village,Manhattan,Manhattan
2019-03-13 18:59:50,2019-03-13 19:28:55,Upper West Side South,Greenpoint,Manhattan,Brooklyn
2019-03-01 07:16:19,2019-03-01 07:23:47,Gramercy,Midtown South,Manhattan,Manhattan
2019-03-07 18:29:07,2019-03-07 18:42:38,Lincoln Square East,Midtown North,Manhattan,Manhattan
2019-03-09 10:44:52,2019-03-09 10:52:53,Yorkville West,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-02 12:18:02,2019-03-02 12:37:42,Penn Station/Madison Sq West,East Village,Manhattan,Manhattan
2019-03-06 18:16:03,2019-03-06 18:41:07,Flatiron,Lincoln Square East,Manhattan,Manhattan
2019-03-22 07:20:24,2019-03-22 07:29:25,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
2019-03-23 07:56:10,2019-03-23 08:02:34,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-12 08:07:08,2019-03-12 08:10:50,Midtown South,Midtown Center,Manhattan,Manhattan
2019-03-15 15:14:28,2019-03-15 15:20:33,Garment District,Lincoln Square East,Manhattan,Manhattan
2019-03-24 00:56:39,2019-03-24 01:03:15,Times Sq/Theatre District,Murray Hill,Manhattan,Manhattan
2019-03-19 08:50:46,2019-03-19 08:55:38,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
2019-03-03 14:45:49,2019-03-03 14:52:31,Central Park,Lincoln Square East,Manhattan,Manhattan
2019-03-30 22:28:22,2019-03-30 22:34:46,Lincoln Square East,Midtown Center,Manhattan,Manhattan
2019-03-10 18:54:29,2019-03-10 19:05:40,Penn Station/Madison Sq West,Greenwich Village North,Manhattan,Manhattan
2019-03-29 09:00:11,2019-03-29 09:18:53,Upper West Side North,Lenox Hill West,Manhattan,Manhattan
2019-03-02 03:29:13,2019-03-02 03:53:18,Lower East Side,Clinton West,Manhattan,Manhattan
2019-03-12 11:21:59,2019-03-12 11:41:40,Gramercy,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-10 09:20:31,2019-03-10 09:23:51,Kips Bay,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-01 17:42:35,2019-03-01 17:56:13,Hudson Sq,Union Sq,Manhattan,Manhattan
2019-03-11 08:25:01,2019-03-11 08:37:31,Murray Hill,Flatiron,Manhattan,Manhattan
2019-03-08 21:56:28,2019-03-08 22:02:48,East Chelsea,East Chelsea,Manhattan,Manhattan
2019-03-19 22:24:06,2019-03-19 22:38:27,Greenwich Village North,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-18 14:03:18,2019-03-18 14:09:46,Midtown East,Lenox Hill West,Manhattan,Manhattan
2019-03-16 16:14:24,2019-03-16 16:29:57,Upper East Side North,Midtown East,Manhattan,Manhattan
2019-03-19 09:01:57,2019-03-19 09:23:59,Fort Greene,TriBeCa/Civic Center,Brooklyn,Manhattan
2019-03-28 18:39:55,2019-03-28 19:03:23,Lenox Hill West,Gramercy,Manhattan,Manhattan
2019-03-11 08:25:36,2019-03-11 08:55:18,Morningside Heights,Upper East Side North,Manhattan,Manhattan
2019-03-10 09:09:58,2019-03-10 09:14:52,Sutton Place/Turtle Bay North,Yorkville West,Manhattan,Manhattan
2019-03-31 02:19:19,2019-03-31 02:36:15,West Chelsea/Hudson Yards,East Harlem South,Manhattan,Manhattan
2019-03-12 20:30:18,2019-03-12 20:33:57,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019-03-08 21:20:20,2019-03-08 21:36:38,LaGuardia Airport,Rego Park,Queens,Queens
2019-03-27 15:06:32,2019-03-27 16:18:52,JFK Airport,Midtown North,Queens,Manhattan
2019-03-26 21:20:48,2019-03-26 21:29:46,Seaport,Battery Park City,Manhattan,Manhattan
2019-03-05 16:27:12,2019-03-05 17:01:36,Murray Hill,LaGuardia Airport,Manhattan,Queens
2019-03-27 10:18:15,2019-03-27 10:26:22,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-19 06:50:07,2019-03-19 07:01:21,Lenox Hill West,Gramercy,Manhattan,Manhattan
2019-03-05 21:09:00,2019-03-05 21:26:19,UN/Turtle Bay South,Lincoln Square East,Manhattan,Manhattan
2019-03-28 17:57:26,2019-03-28 17:59:45,Lincoln Square East,Midtown North,Manhattan,Manhattan
2019-03-20 00:55:55,2019-03-20 01:09:46,East Chelsea,Lower East Side,Manhattan,Manhattan
2019-03-15 08:34:06,2019-03-15 08:45:10,Upper East Side South,Midtown Center,Manhattan,Manhattan
2019-03-31 20:06:01,2019-03-31 20:31:38,JFK Airport,Middle Village,Queens,Queens
2019-03-12 08:02:59,2019-03-12 08:38:54,Washington Heights South,Upper East Side North,Manhattan,Manhattan
2019-03-04 18:37:54,2019-03-04 18:44:05,Yorkville West,Upper East Side North,Manhattan,Manhattan
2019-03-12 20:59:02,2019-03-12 21:02:36,Lincoln Square West,Lincoln Square West,Manhattan,Manhattan
2019-03-09 22:07:31,2019-03-09 22:23:10,Gramercy,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-03 01:14:14,2019-03-03 01:23:08,TriBeCa/Civic Center,East Village,Manhattan,Manhattan
2019-03-30 16:35:21,2019-03-30 16:38:16,Garment District,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-07 15:41:20,2019-03-07 15:53:22,Upper East Side South,East Harlem South,Manhattan,Manhattan
2019-03-29 21:45:00,2019-03-29 21:52:31,Upper West Side North,Upper East Side North,Manhattan,Manhattan
2019-03-20 08:30:00,2019-03-20 08:38:45,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01 14:31:20,2019-03-01 14:51:55,Midtown Center,Midtown East,Manhattan,Manhattan
2019-03-07 16:10:28,2019-03-07 16:14:55,TriBeCa/Civic Center,Battery Park City,Manhattan,Manhattan
2019-03-19 19:41:03,2019-03-19 19:50:13,Upper West Side South,Central Park,Manhattan,Manhattan
2019-03-30 18:04:37,2019-03-30 18:46:29,Union Sq,JFK Airport,Manhattan,Queens
2019-03-11 19:11:17,2019-03-11 19:19:11,Midtown South,Midtown Center,Manhattan,Manhattan
2019-03-10 14:45:46,2019-03-10 14:56:50,Lincoln Square East,Upper East Side South,Manhattan,Manhattan
2019-03-04 22:57:22,2019-03-04 23:17:27,LaGuardia Airport,Washington Heights South,Queens,Manhattan
2019-03-12 17:14:54,2019-03-12 17:23:18,Union Sq,West Village,Manhattan,Manhattan
2019-03-20 06:40:31,2019-03-20 06:43:05,Murray Hill,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-02 00:06:36,2019-03-02 00:08:44,Upper East Side South,Upper East Side South,Manhattan,Manhattan
2019-03-13 21:44:11,2019-03-13 22:07:55,LaGuardia Airport,East Village,Queens,Manhattan
2019-03-05 11:06:51,2019-03-05 11:14:54,Midtown East,Midtown Center,Manhattan,Manhattan
2019-03-11 10:23:06,2019-03-11 10:27:57,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-08 00:55:42,2019-03-08 01:00:34,Gramercy,Murray Hill,Manhattan,Manhattan
2019-03-22 10:20:34,2019-03-22 10:29:45,Garment District,Midtown South,Manhattan,Manhattan
2019-03-05 20:44:46,2019-03-05 20:52:02,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
2019-03-18 23:51:14,2019-03-19 00:05:36,Financial District South,Financial District South,Manhattan,Manhattan
2019-03-05 17:23:28,2019-03-05 17:40:17,Lincoln Square West,Yorkville East,Manhattan,Manhattan
2019-03-11 11:39:40,2019-03-11 12:17:41,Chinatown,Midtown East,Manhattan,Manhattan
2019-03-09 18:45:33,2019-03-09 18:55:00,Upper West Side North,Lincoln Square West,Manhattan,Manhattan
2019-03-08 19:30:26,2019-03-08 19:37:32,Clinton West,Upper West Side South,Manhattan,Manhattan
2019-03-01 23:15:11,2019-03-01 23:33:56,Garment District,East Village,Manhattan,Manhattan
2019-03-13 23:20:04,2019-03-13 23:30:36,Midtown East,East Chelsea,Manhattan,Manhattan
2019-03-07 00:03:38,2019-03-07 00:10:00,Greenwich Village North,Alphabet City,Manhattan,Manhattan
2019-03-24 19:17:44,2019-03-24 19:27:28,Seaport,Lower East Side,Manhattan,Manhattan
2019-03-17 21:53:11,2019-03-17 22:18:04,LaGuardia Airport,Upper West Side South,Queens,Manhattan
2019-03-10 14:02:13,2019-03-10 14:15:11,Gramercy,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-15 00:31:49,2019-03-15 00:45:30,Financial District South,Lower East Side,Manhattan,Manhattan
2019-03-11 10:40:57,2019-03-11 11:23:14,JFK Airport,Midtown South,Queens,Manhattan
2019-03-28 19:07:31,2019-03-28 19:24:12,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019-03-10 01:01:50,2019-03-10 01:16:55,Greenwich Village North,Greenwich Village South,Manhattan,Manhattan
2019-03-15 16:07:05,2019-03-15 16:17:55,Midtown Center,Garment District,Manhattan,Manhattan
2019-03-23 13:56:28,2019-03-23 13:58:12,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019-03-13 12:33:50,2019-03-13 12:42:00,Yorkville East,Murray Hill,Manhattan,Manhattan
2019-03-27 19:21:50,2019-03-27 19:29:21,Midtown Center,Lenox Hill West,Manhattan,Manhattan
2019-03-16 02:10:30,2019-03-16 02:12:32,Sutton Place/Turtle Bay North,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-18 13:44:03,2019-03-18 13:55:24,Flatiron,Kips Bay,Manhattan,Manhattan
2019-03-17 10:04:11,2019-03-17 10:16:11,Yorkville West,Alphabet City,Manhattan,Manhattan
2019-03-09 21:42:15,2019-03-09 22:05:02,Times Sq/Theatre District,Financial District South,Manhattan,Manhattan
2019-03-01 16:09:27,2019-03-01 16:48:09,Van Cortlandt Village,Melrose South,Bronx,Bronx
2019-03-20 19:01:18,2019-03-20 19:16:58,Seaport,Union Sq,Manhattan,Manhattan
2019-03-07 11:58:44,2019-03-07 12:01:40,Upper East Side North,Lenox Hill East,Manhattan,Manhattan
2019-03-07 08:56:25,2019-03-07 09:09:39,Midtown North,Clinton East,Manhattan,Manhattan
2019-03-17 20:38:14,2019-03-17 20:46:50,Clinton East,Garment District,Manhattan,Manhattan
2019-03-11 15:20:05,2019-03-11 15:29:20,TriBeCa/Civic Center,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-10 15:02:22,2019-03-10 15:19:49,Clinton East,Long Island City/Hunters Point,Manhattan,Queens
2019-03-14 18:14:26,2019-03-14 18:31:40,Times Sq/Theatre District,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-12 06:23:25,2019-03-12 06:28:55,East Village,Union Sq,Manhattan,Manhattan
2019-03-11 19:04:29,2019-03-11 19:17:39,Lincoln Square East,Upper East Side South,Manhattan,Manhattan
2019-03-04 07:11:30,2019-03-04 07:17:49,Garment District,Murray Hill,Manhattan,Manhattan
2019-03-20 14:05:21,2019-03-20 14:39:22,Van Cortlandt Village,Lenox Hill East,Bronx,Manhattan
2019-03-20 11:15:40,2019-03-20 11:42:10,Lower East Side,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-09 08:10:17,2019-03-09 08:13:41,East Harlem South,East Harlem South,Manhattan,Manhattan
2019-03-21 07:47:45,2019-03-21 07:57:37,Hamilton Heights,Manhattan Valley,Manhattan,Manhattan
2019-03-18 18:35:42,2019-03-18 18:39:32,West Chelsea/Hudson Yards,Clinton West,Manhattan,Manhattan
2019-03-17 03:06:45,2019-03-17 03:25:46,Greenwich Village South,Upper East Side North,Manhattan,Manhattan
2019-03-27 14:45:56,2019-03-27 14:59:28,UN/Turtle Bay South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-07 19:39:20,2019-03-07 20:02:32,Penn Station/Madison Sq West,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-14 16:28:48,2019-03-14 17:24:39,JFK Airport,Lenox Hill West,Queens,Manhattan
2019-03-30 15:36:06,2019-03-30 15:57:44,West Chelsea/Hudson Yards,Greenwich Village South,Manhattan,Manhattan
2019-03-22 08:41:28,2019-03-22 08:46:48,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-21 18:53:32,2019-03-21 19:13:53,Midtown Center,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-21 23:27:45,2019-03-21 23:34:16,Greenwich Village South,Lower East Side,Manhattan,Manhattan
2019-03-27 11:31:43,2019-03-27 11:38:14,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-22 06:30:20,2019-03-22 06:40:57,Upper East Side North,Murray Hill,Manhattan,Manhattan
2019-03-08 19:10:22,2019-03-08 19:20:24,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-16 17:37:27,2019-03-16 17:51:26,Meatpacking/West Village West,Garment District,Manhattan,Manhattan
2019-03-12 08:51:14,2019-03-12 08:56:02,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
2019-03-18 17:24:49,2019-03-18 17:37:23,Financial District North,Murray Hill,Manhattan,Manhattan
2019-03-14 23:37:21,2019-03-15 00:17:07,Midtown Center,Howard Beach,Manhattan,Queens
2019-03-09 15:20:41,2019-03-09 15:26:06,Upper West Side South,Clinton East,Manhattan,Manhattan
2019-03-21 23:11:50,2019-03-21 23:17:26,West Village,West Village,Manhattan,Manhattan
2019-03-27 15:53:39,2019-03-27 16:27:01,Upper West Side North,Murray Hill,Manhattan,Manhattan
2019-03-22 00:04:23,2019-03-22 00:22:33,Upper East Side South,Washington Heights South,Manhattan,Manhattan
2019-03-03 03:43:35,2019-03-03 03:58:29,East Village,Clinton West,Manhattan,Manhattan
2019-03-20 15:39:32,2019-03-20 15:43:19,East Harlem South,Upper East Side North,Manhattan,Manhattan
2019-03-12 22:48:31,2019-03-12 23:18:42,JFK Airport,Lenox Hill East,Queens,Manhattan
2019-03-31 13:37:34,2019-03-31 13:56:07,Penn Station/Madison Sq West,Upper East Side North,Manhattan,Manhattan
2019-03-04 13:33:03,2019-03-04 13:35:46,Yorkville East,Yorkville East,Manhattan,Manhattan
2019-03-18 08:45:16,2019-03-18 08:52:43,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-26 23:15:16,2019-03-26 23:18:11,Upper West Side North,Central Harlem,Manhattan,Manhattan
2019-03-05 21:21:28,2019-03-05 21:37:43,Lincoln Square East,Central Harlem,Manhattan,Manhattan
2019-03-12 11:29:41,2019-03-12 11:51:42,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-06 12:28:21,2019-03-06 12:49:33,Upper East Side North,Midtown East,Manhattan,Manhattan
2019-03-04 15:59:58,2019-03-04 16:10:45,Lenox Hill West,Midtown Center,Manhattan,Manhattan
2019-03-08 18:13:45,2019-03-08 18:39:44,West Village,Lincoln Square East,Manhattan,Manhattan
2019-03-30 15:56:42,2019-03-30 16:06:54,Union Sq,East Village,Manhattan,Manhattan
2019-03-23 15:26:08,2019-03-23 15:39:28,West Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-27 13:40:32,2019-03-27 14:01:05,Greenwich Village North,Midtown North,Manhattan,Manhattan
2019-03-25 16:18:47,2019-03-25 16:45:18,Kips Bay,Hamilton Heights,Manhattan,Manhattan
2019-03-10 16:38:09,2019-03-10 17:03:03,East Village,Lenox Hill West,Manhattan,Manhattan
2019-03-16 20:41:56,2019-03-16 21:01:01,Meatpacking/West Village West,Murray Hill,Manhattan,Manhattan
2019-03-27 09:22:23,2019-03-27 09:27:39,Clinton West,Central Park,Manhattan,Manhattan
2019-03-19 20:13:26,2019-03-19 20:16:31,West Village,Greenwich Village South,Manhattan,Manhattan
2019-03-24 11:24:51,2019-03-24 11:40:08,East Harlem North,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-10 10:27:55,2019-03-10 10:31:06,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-03 19:55:46,2019-03-03 20:00:51,Flatiron,Hudson Sq,Manhattan,Manhattan
2019-03-02 20:35:28,2019-03-02 20:49:47,LaGuardia Airport,Long Island City/Queens Plaza,Queens,Queens
2019-03-02 01:17:14,2019-03-02 01:36:17,Clinton East,Lower East Side,Manhattan,Manhattan
