passengers,distance,fare,tip,tolls,total
1,0.6,4.5,0.0,0.0,8.8
1,0.5,6.5,0.0,0.0,7.3
1,1.31,7.5,2.26,0.0,13.56
1,1.3,8.0,0.0,0.0,11.3
3,1.0,7.0,2.26,0.0,13.56
5,1.69,8.5,0.0,0.0,12.3
1,0.76,5.5,1.76,0.0,10.56
5,10.72,32.0,0.0,5.76,39.06
1,7.93,28.5,8.08,0.0,40.38
1,1.1,6.5,0.0,0.0,9.8
4,15.64,50.0,0.0,5.76,60.06
2,0.99,6.5,2.16,0.0,12.96
1,1.8,10.5,2.0,0.0,15.8
1,1.2,6.0,1.4,0.0,10.7
1,3.82,16.0,3.0,0.0,22.8
1,2.2,11.0,2.85,0.0,17.15
1,0.48,4.5,1.0,0.0,8.8
1,1.6,10.0,2.15,0.0,16.45
1,0.7,5.0,0.0,0.0,8.3
2,1.66,14.5,0.0,0.0,17.8
1,0.6,6.0,1.85,0.0,11.15
1,1.0,7.5,3.2,0.0,14.0
1,2.1,9.5,2.75,0.0,16.55
2,2.76,13.5,3.36,0.0,20.16
1,2.5,11.5,3.05,0.0,18.35
1,0.43,3.5,0.0,0.0,6.8
1,6.05,19.0,0.0,0.0,23.3
1,0.49,4.0,1.46,0.0,8.76
2,1.46,7.0,2.06,0.0,12.36
1,0.86,5.5,1.86,0.0,11.16
1,1.95,12.0,0.0,0.0,15.3
1,0.0,25.0,5.06,0.0,30.36
1,0.58,6.0,0.0,0.0,9.3
2,1.0,8.5,3.05,0.0,15.35
1,1.52,15.5,0.0,0.0,18.8
2,0.75,4.5,1.66,0.0,9.96
3,3.7,15.0,0.0,0.0,18.8
1,1.07,6.5,1.5,0.0,11.3
1,4.43,18.5,3.0,0.0,24.8
1,1.0,6.5,1.47,0.0,11.27
1,1.1,5.5,1.96,0.0,11.76
1,0.76,7.5,2.36,0.0,14.16
1,0.77,6.5,1.96,0.0,11.76
2,2.22,10.5,2.26,0.0,13.56
1,1.2,7.5,2.25,0.0,13.55
1,2.9,14.0,0.0,0.0,17.3
1,1.9,11.5,0.0,0.0,14.8
1,1.4,6.5,1.95,0.0,11.75
1,0.7,8.0,1.85,0.0,14.15
1,4.72,20.5,4.76,0.0,28.56
2,4.99,17.5,4.26,0.0,25.56
2,0.98,4.5,0.0,0.0,5.8
1,0.46,5.0,1.66,0.0,9.96
3,4.4,25.0,6.95,2.64,34.89
1,3.76,14.0,0.0,0.0,17.8
6,17.96,52.0,0.0,5.76,61.06
4,4.48,16.0,3.96,0.0,23.76
4,2.68,13.5,2.5,0.0,20.3
1,1.2,7.0,0.0,0.0,7.8
1,1.7,13.5,1.68,0.0,18.48
1,1.9,10.0,2.0,0.0,15.8
6,8.54,34.0,0.0,0.0,34.8
1,1.78,10.5,2.96,0.0,17.76
1,0.5,5.5,1.75,0.0,10.55
1,2.0,11.5,1.5,0.0,17.3
2,1.39,8.0,2.46,0.0,14.76
2,4.66,18.0,0.0,0.0,21.3
1,0.62,5.0,0.0,0.0,5.8
1,1.54,9.5,0.0,0.0,12.8
1,1.7,8.0,2.45,0.0,14.75
1,7.4,28.0,0.0,0.0,31.8
1,2.1,10.0,2.85,0.0,17.15
5,1.12,6.5,1.96,0.0,11.76
1,0.7,6.5,2.16,0.0,12.96
1,1.52,8.5,1.0,0.0,12.8
1,3.37,13.0,1.0,0.0,17.8
1,1.2,6.5,2.05,0.0,12.35
1,4.73,15.5,3.76,0.0,22.56
1,3.1,14.5,4.7,0.0,23.5
1,0.8,5.5,1.76,0.0,10.56
1,1.15,10.0,0.0,0.0,13.3
1,4.2,17.0,4.8,5.76,28.86
1,15.52,42.0,8.66,0.0,51.96
2,1.93,12.0,3.82,0.0,19.12
1,3.48,15.5,3.86,0.0,23.16
1,0.78,8.5,3.54,0.0,15.34
1,19.99,52.0,11.71,5.76,70.27
3,1.1,6.0,1.5,0.0,11.3
1,3.5,16.5,2.0,0.0,22.8
3,0.66,4.0,0.0,0.0,7.3
1,6.31,27.5,6.36,0.0,38.16
1,0.37,4.0,1.46,0.0,8.76
1,8.45,27.0,0.0,0.0,30.8
1,0.95,6.0,1.86,0.0,11.16
1,4.7,18.0,2.0,0.0,23.3
1,1.0,7.0,1.56,0.0,9.36
1,1.47,8.5,2.36,0.0,14.16
2,1.4,8.5,1.0,0.0,13.3
1,0.61,5.0,1.66,0.0,9.96
1,2.0,12.0,3.06,0.0,18.36
1,1.09,7.0,1.03,0.0,11.33
1,8.76,31.0,10.29,0.0,44.59
1,3.27,16.5,5.2,0.0,26.0
1,6.36,21.5,0.0,0.0,25.3
1,0.97,7.5,0.0,0.0,11.3
1,2.7,13.5,3.35,0.0,20.15
1,4.9,16.5,4.15,0.0,24.95
2,0.9,6.0,2.94,0.0,12.74
1,1.53,9.0,0.0,0.0,12.8
2,1.66,8.0,2.79,0.0,12.09
0,2.7,11.5,5.0,0.0,20.3
2,9.49,34.0,7.46,0.0,44.76
5,0.5,5.0,1.76,0.0,10.56
3,2.8,14.0,0.0,0.0,17.8
1,1.84,8.0,3.39,0.0,14.69
1,0.47,4.5,2.34,0.0,10.14
1,4.59,16.0,2.32,0.0,21.62
1,1.9,8.5,1.95,0.0,11.75
1,0.5,5.0,1.0,0.0,10.3
1,2.1,9.0,0.0,0.0,13.3
2,0.91,5.0,1.86,0.0,11.16
2,7.2,21.5,0.0,0.0,23.3
2,1.2,7.5,2.15,0.0,12.95
5,1.08,7.0,2.06,0.0,12.36
1,2.5,13.0,3.25,0.0,19.55
1,0.74,6.0,0.0,0.0,9.3
1,1.71,10.0,3.33,0.0,16.63
1,1.69,8.5,3.54,0.0,15.34
1,1.4,7.5,2.25,0.0,13.55
1,0.64,5.0,1.66,0.0,9.96
1,2.3,11.0,0.0,0.0,15.3
1,1.3,10.0,2.85,0.0,17.15
1,0.54,5.0,0.0,0.0,9.3
1,10.16,35.0,7.76,0.0,46.56
6,3.77,24.0,0.0,0.0,27.3
1,0.97,5.5,1.76,0.0,10.56
1,4.4,17.5,4.15,0.0,24.95
1,0.72,5.5,1.46,0.0,8.76
1,0.3,4.0,0.0,0.0,7.3
5,12.08,36.5,0.0,0.0,37.3
1,0.75,5.0,1.0,0.0,9.8
1,1.2,7.5,2.16,0.0,12.96
2,2.15,12.5,2.0,0.0,17.8
1,1.89,9.5,2.0,0.0,15.8
3,1.21,6.5,2.06,0.0,12.36
1,1.2,7.5,2.15,0.0,12.95
1,2.23,10.5,2.76,0.0,16.56
1,2.5,13.5,3.45,0.0,20.75
1,0.85,5.5,0.0,0.0,8.8
1,1.35,8.0,2.36,0.0,14.16
1,9.99,42.0,9.06,0.0,54.36
1,2.4,10.5,0.0,0.0,14.3
1,0.6,5.5,0.0,0.0,9.3
1,1.46,7.5,2.26,0.0,13.56
1,7.6,26.5,1.0,0.0,29.3
1,2.41,11.0,0.0,0.0,12.3
2,10.18,33.5,5.0,5.76,48.56
1,1.47,7.5,2.16,0.0,12.96
1,2.26,10.0,0.0,0.0,13.8
1,2.22,12.0,3.06,0.0,18.36
1,2.2,24.5,0.0,0.0,27.8
1,2.5,14.5,3.56,0.0,21.36
5,0.71,6.0,2.06,0.0,12.36
1,7.1,25.5,4.32,0.0,33.12
2,3.5,17.0,4.15,0.0,24.95
3,3.77,14.5,3.56,0.0,21.36
1,0.96,8.0,0.0,0.0,11.3
1,1.86,11.5,0.0,0.0,14.8
1,3.4,18.0,5.45,0.0,27.25
2,1.97,10.5,2.96,0.0,17.76
2,1.0,9.0,0.0,0.0,12.8
1,1.05,6.5,2.16,0.0,12.96
1,11.32,34.0,3.3,0.0,40.6
2,3.09,17.0,0.0,0.0,20.3
5,6.31,26.0,3.0,0.0,32.3
1,0.93,6.0,2.45,0.0,12.25
5,1.78,10.5,2.76,0.0,16.56
2,1.7,8.5,2.0,0.0,14.3
1,7.7,23.5,4.85,0.0,29.15
1,1.59,7.5,2.26,0.0,13.56
1,2.91,13.5,0.0,0.0,16.8
1,2.21,10.5,0.0,0.0,14.3
1,1.3,12.5,0.0,0.0,15.8
1,0.66,5.0,0.0,0.0,5.8
1,0.43,5.5,1.96,0.0,11.76
1,1.66,7.5,1.5,0.0,12.8
1,0.7,5.5,1.85,0.0,11.15
5,1.39,8.0,0.0,0.0,11.3
2,1.2,6.0,2.05,0.0,12.35
1,2.3,18.0,4.25,0.0,25.55
3,2.09,13.0,3.46,0.0,20.76
1,0.66,7.0,2.26,0.0,13.56
2,3.7,18.0,0.0,0.0,21.8
1,1.14,6.5,0.0,0.0,10.3
1,1.1,7.0,2.25,0.0,13.55
1,2.02,10.5,2.76,0.0,16.56
1,1.8,9.5,1.0,0.0,13.8
0,1.5,7.5,2.25,0.0,13.55
1,1.02,5.5,1.96,0.0,11.76
2,0.84,5.5,1.96,0.0,11.76
5,1.69,10.0,4.29,0.0,18.59
2,1.9,12.0,3.06,0.0,18.36
1,2.05,11.5,3.7,0.0,18.5
1,1.1,6.0,1.5,0.0,11.3
1,0.82,7.0,2.16,0.0,12.96
1,0.4,4.0,0.0,0.0,8.3
6,1.66,9.0,3.08,0.0,15.38
1,1.14,9.5,2.56,0.0,15.36
1,3.63,15.0,0.0,0.0,16.3
0,2.1,13.0,0.0,0.0,16.3
6,0.97,7.5,2.16,0.0,12.96
2,2.23,9.0,2.46,0.0,14.76
1,2.86,12.0,1.0,0.0,16.8
1,3.78,14.5,0.0,0.0,18.3
5,9.76,29.5,7.91,5.76,47.47
1,0.88,6.5,1.96,0.0,11.76
1,9.36,26.5,7.21,5.76,43.27
1,0.8,5.5,1.75,0.0,10.55
2,7.51,23.0,5.91,5.76,35.47
1,3.27,14.5,3.56,0.0,21.36
2,1.16,7.5,2.7,0.0,13.5
2,1.2,7.0,2.05,0.0,12.35
2,3.77,14.0,2.67,0.0,20.47
5,2.07,13.0,0.0,0.0,17.3
2,0.9,6.0,1.4,0.0,10.7
1,2.3,10.5,2.86,0.0,17.16
2,0.6,5.0,1.65,0.0,9.95
1,3.25,19.0,4.66,0.0,27.96
1,0.6,5.0,2.32,0.0,11.62
1,1.5,6.5,1.95,0.0,11.75
4,2.51,20.0,4.56,0.0,27.36
1,1.28,12.5,0.0,0.0,15.8
1,6.56,22.0,7.26,5.76,36.32
1,2.25,9.5,0.0,0.0,13.8
1,1.2,8.5,2.45,0.0,14.75
1,1.96,9.5,2.66,0.0,15.96
2,4.28,19.5,3.0,0.0,25.8
1,0.64,5.0,1.0,0.0,9.3
1,0.0,52.0,13.66,8.5,81.96
1,0.9,8.0,1.7,0.0,13.0
1,0.83,6.0,1.86,0.0,11.16
1,2.09,9.5,2.66,0.0,15.96
1,1.52,7.5,2.36,0.0,14.16
1,2.05,9.5,2.56,0.0,15.36
1,1.07,7.5,2.36,0.0,14.16
1,1.3,6.0,0.0,0.0,9.55
1,2.7,15.0,0.0,0.0,15.8
1,2.52,12.5,0.0,0.0,13.3
1,3.24,15.5,3.46,0.0,20.76
1,2.1,10.0,0.0,0.0,10.8
1,1.33,8.5,2.06,0.0,12.36
1,2.54,11.0,0.0,0.0,11.8
1,2.0,9.5,2.0,0.0,12.8
1,0.73,5.5,0.0,0.0,6.8
1,0.8,4.5,0.0,0.0,6.3
1,1.96,9.5,0.0,0.0,10.8
1,1.77,14.0,3.95,0.0,19.75
1,1.1,6.0,0.39,0.0,8.19
1,1.81,11.0,0.0,0.0,11.8
1,2.95,12.5,0.0,0.0,13.3
1,2.16,10.0,0.0,0.0,10.8
1,2.3,9.0,0.0,0.0,10.3
2,2.11,10.0,0.0,0.0,11.3
1,5.01,12.0,0.0,0.0,12.0
1,1.04,6.0,0.2,0.0,7.0
1,1.4,8.5,2.05,0.0,12.35
1,1.31,7.5,0.0,0.0,8.8
1,0.77,6.0,0.0,0.0,6.8
1,0.7,5.0,0.0,0.0,5.8
1,3.44,12.5,2.66,0.0,15.96
1,0.54,4.5,0.0,0.0,5.8
1,1.54,9.5,0.0,0.0,10.3
1,1.28,7.5,3.0,0.0,11.3
2,0.68,4.0,0.0,0.0,4.8
1,2.58,10.0,0.0,0.0,10.8
1,2.1,9.5,0.0,0.0,10.8
1,0.65,8.0,0.0,0.0,8.8
1,6.64,21.0,3.0,0.0,24.8
1,2.28,10.0,2.16,0.0,12.96
1,0.16,10.0,2.16,0.0,12.96
1,1.9,9.5,0.0,0.0,11.3
1,7.7,28.5,0.0,0.0,29.3
1,2.58,10.5,0.0,0.0,11.3
1,1.21,6.5,0.0,0.0,7.3
1,1.5,6.5,1.46,0.0,8.76
1,1.63,9.5,0.0,0.0,10.3
1,22.17,81.86,0.0,0.0,82.36
1,0.64,5.0,0.0,0.0,5.8
1,2.4,11.5,0.01,0.0,12.31
1,2.0,8.5,0.0,0.0,9.8
1,5.65,24.5,0.0,0.0,26.3
1,10.1,12.0,0.0,0.0,12.0
1,0.72,5.0,1.26,0.0,7.56
1,0.6,4.5,0.0,0.0,6.3
2,3.67,18.0,4.41,0.0,26.46
1,1.06,6.0,1.56,0.0,9.36
1,0.4,4.0,1.2,0.0,6.0
1,7.1,25.7,0.0,0.0,26.2
1,23.61,58.99,0.0,5.76,65.25
1,4.56,16.0,0.0,0.0,17.3
5,0.99,6.5,1.95,0.0,9.75
1,1.44,12.0,0.0,0.0,12.8
1,0.56,4.0,1.44,0.0,6.24
1,3.41,12.0,3.11,0.0,18.66
5,1.18,6.5,1.46,0.0,8.76
1,2.2,9.5,0.0,0.0,10.8
1,0.77,5.0,0.0,0.0,6.3
2,2.64,12.0,0.0,0.0,13.8
1,0.7,4.5,0.0,0.0,5.3
1,1.14,7.5,1.66,0.0,9.96
1,1.36,6.5,1.95,0.0,9.75
1,2.56,10.5,0.0,0.0,12.3
1,4.41,17.0,0.0,0.0,18.3
1,1.8,9.5,0.0,0.0,10.3
1,0.55,5.0,0.58,0.0,6.38
1,1.62,8.0,0.0,0.0,8.8
1,1.25,6.0,0.0,0.0,7.8
4,4.07,14.5,0.0,0.0,15.8
1,1.1,6.5,1.55,0.0,9.35
